
Subjects incorporated to date: 025
Data file started on machine PL_LABXP1

**********************************************************************
Subject 16, 04/21/2009 15:16:36 on PL_LABXP3, refresh 9.99ms, ID LS
  Item       RT
 70002    322.67
 70003    317.82
 70004    299.95
 70005    283.56
 70006    269.17
 70007    389.85
 70008    379.85
 70009    368.12
 70010    369.86
 70011    160.12
 70012    340.00
 70013    304.41
 70014    219.27
 47000    340.83
 47001    609.03
 47002    547.36
 47003    244.01
 47004    291.81
 47005    325.17
 47006    279.97
 47007    257.42
 47008    639.93
 47009    369.86
 47010    269.99
 47011    290.02
 47012    246.83
 47013    518.15
 63000    379.83
 63001    463.70
 63002    357.15
 63003    255.14
 63004    285.05
 63005    419.84
 63006    269.31
 63007    302.14
 63008    291.83
 63009    456.00
 63010    442.40
 63011    322.02
 63012    273.55
 63013    364.61
 63251   1045.41
 60000    291.03
 60001    489.70
 60002    604.54
 60003    301.58
 60004    301.49
 60005    237.82
 60006    275.10
 60007    419.82
 60008    336.72
 60009    269.98
 60010    538.02
 60011    414.58
 60012    369.84
 60013    296.70
 60014    302.28
 60015    276.70
 60016    356.06
 60251   1021.24
 49000    334.41
 49001    405.50
 49002    284.72
 49003    264.47
 49004    264.94
 49005    435.42
 49006    305.18
 49007    266.68
 49008    304.19
 49009    278.37
 49010    295.23
 49011    367.52
 49012    339.88
 49013    275.93
 49014    410.94
 49251    939.10
 58000    285.97
 58001    461.86
 58002    394.56
 58003    277.89
 58004    385.65
 58005    328.77
 58006    334.76
 58007    459.74
 58008    491.72
 58009    664.14
 58010    439.84
 58011    271.51
 58012    229.86
 58013    334.65
 58014    260.00
 58015    286.42
 58251   1213.13
 69000    309.94
 69001    431.74
 69002    259.99
 69003    234.92
 69004    213.68
 69005    270.01
 69006    239.23
 69007    237.53
 69008    246.40
 69009    329.35
 69010    261.21
 69011    249.87
 69012    349.89
 69013    287.36
 69014    232.80
 69015    250.01
 69251   1294.25
 65000    385.71
 65001    459.59
 65002    306.45
 65003    225.43
 65004    460.19
 65005    248.44
 65006    320.65
 65007    279.97
 65008    335.55
 65009    519.91
 65010    404.35
 65011    322.53
 65012    480.09
 65013    354.60
 65014    279.98
 65015    369.86
 65251    850.86
 72000    228.95
 72001    439.37
 72002    284.48
 72003    274.89
 72004    252.77
 72005    282.99
 72006    294.65
 72007    225.13
 72008    250.16
 72009    282.41
 72010    254.07
 72011    262.55
 72012    278.89
 72013    272.38
 72014    245.20
 72015    324.56
 72016    329.91
 72251   1088.91
 28000    349.87
 28001    262.28
 28002    325.25
 28003    260.92
 28004    309.93
 28005    324.55
 28006    322.63
 28007    299.95
 28008    306.93
 28009    281.35
 28010    303.17
 28011    384.80
 28012    342.59
 28013    210.05
 28014    190.08
 28015    334.82
 28016    357.17
 46000    480.20
 46001    299.95
 46002    318.24
 46003    285.30
 46004    399.83
 46005    350.31
 46006    339.23
 46007    235.23
 46008    399.52
 46009    540.55
 46010    469.44
 46011    291.89
 46012    269.24
 46013    256.91
 46014    360.13
 30000    397.73
 30001    307.44
 30002    379.85
 30003    323.61
 30004    201.67
 30005    710.60
 30006    328.28
 30007    319.92
 30008    285.91
 30009    402.14
 30010    292.09
 30011    678.67
 30012    264.80
 30013    335.72
 30014    292.75
 30251   1248.52
 33000    348.19
 33001    311.65
 33002    319.92
 33003    322.20
 33004    423.78
 33005    293.76
 33006    273.28
 33007    282.33
 33008    389.82
 33009    422.74
 33010    366.03
 33011    509.70
 33251   1390.38
132000    369.84
132001    260.00
132002    262.90
132003    267.28
132004    260.00
132005    364.46
132006    275.73
132007    300.39
132008    345.12
132009    359.88
132010    154.81
132011    232.04
132012    268.24
132013    415.22
132014    212.91
 17000    479.70
 17001    223.04
 17002    248.83
 17003    269.50
 17004    240.02
 17005    204.50
 17006    251.47
 17007    255.08
 17008    283.12
 17009    356.39
 17010    332.41
 17011    190.08
 17012    317.96
 17013    326.11
 17014    351.95
127000    320.24
127001    260.00
127002    249.76
127003    337.59
127004    254.49
127005    339.89
127006    234.67
127007    246.48
127008    227.86
127009    282.93
127010    266.59
127011    237.77
127012    260.00
127013    260.13
127014    270.37
120000    320.82
120001    236.96
120002    273.26
120003    269.97
120004    269.13
120005    255.02
120006    198.02
120007    202.02
120008    299.60
120009    230.11
120010    470.69
120011    263.62
120012    240.04
120013    309.93
120014    417.51
120251   1115.54
  8000    333.81
  8001    250.72
  8002    318.81
  8003    320.31
  8004    260.12
  8005    418.88
  8006    399.53
  8007    536.71
  8008    390.49
  8009    434.25
  8010    355.66
  8011    284.77
  8012    209.77
  8013    404.87
  8251   1250.24
 19000    230.25
 19001    325.61
 19002    306.11
 19003    423.84
 19004    301.75
 19005    479.41
 19006    538.42
 19007    487.98
 19008    369.55
 19009    383.14
 19010    378.85
 19011    407.50
 19012    250.57
 19013    473.24
 19251   1203.28
  1000    323.68
  1001    269.69
  1002    241.18
  1003    222.56
  1004    202.43
  1005    229.75
  1006    299.34
  1007    229.82
  1008    222.16
  1009    300.75
