
Subjects incorporated to date: 019
Data file started on machine PL_LABXP4

**********************************************************************
Subject 1, 04/21/2009 10:56:15 on PL_LABXP4, refresh 9.99ms, ID JR
  Item       RT
 27002    230.04
 27003    275.41
 27004    397.79
 27005    226.15
 27006    390.60
 27007    217.31
 27008    221.81
 27009    185.10
 27010    299.45
 27011    494.66
 27012    282.15
 27013    442.18
 27251   2018.60
 55000    681.37
 55001    281.86
 55002    283.96
 55003    192.39
 55004    215.82
 55005    162.82
 55006    185.18
 55007    165.96
 55008    204.57
 55009    369.85
 55010    240.02
 55011    178.74
 55012    190.08
 55013    420.77
 55014    262.74
 55015    233.85
 55016    199.84
 55017    357.13
 55251   1641.63
 33000    419.77
 33001    190.20
 33002    184.56
 33003    200.08
 33004    176.24
 33005    194.26
 33006    186.30
 33007    166.18
 33008    175.64
 33009    477.89
 33010    506.91
 33011    346.57
 33251   1775.06
 34000    381.34
 34001    190.70
 34002    160.13
 34003    137.72
 34004    158.54
 34005    210.37
 34006    289.02
 34007    202.23
 34008    187.44
 34009    221.92
 34010    184.24
 34011    226.44
 34012    287.37
 34013    298.16
 34014    483.27
 61000    769.13
 61001    809.20
 61002    200.07
 61003    237.12
 61004    244.10
 61005    173.68
 61006    265.33
 61007    248.15
 61008    302.87
 61009    553.58
 61010    475.54
 61011    360.05
 61012    493.35
 61013    215.31
 61014    509.67
 40000    477.21
 40001    174.00
 40002    169.72
 40003    190.90
 40004    344.30
 40005    327.37
 40006    294.07
 40007    430.80
 40008    342.64
 40009    449.74
 40010    324.08
 40011    227.16
 40012    226.35
 40013    212.99
 40014    529.00
 67000    512.16
 67001    327.64
 67002    250.02
 67003    226.69
 67004    250.00
 67005    322.50
 67006    337.27
 67007    674.06
 67008    220.05
 67009    815.00
 67010    312.09
 67011    230.04
 67012    252.67
 67013    291.37
 67014    354.89
 67015    292.60
 67016    599.56
 67251   2402.13
 62000    429.70
 62001    208.93
 62002    190.09
 62003    317.49
 62004    194.71
 62005    189.91
 62006    196.16
 62007    255.80
 62008    281.88
 62009    295.59
 62010    240.73
 62011    235.79
 62012    225.13
 62013    218.69
 62014    448.78
 62251  -2521.29
 71000    639.51
 71001    191.46
 71002    210.10
 71003    352.81
 71004    465.45
 71005    240.81
 71006    405.78
 71007    313.32
 71008    379.95
 71009    389.83
 71010    290.16
 71011    335.77
 71012    323.32
 71013    250.01
 71014    357.22
 63000    499.42
 63001    291.01
 63002    295.63
 63003    269.99
 63004    249.81
 63005    211.75
 63006    261.40
 63007    299.94
 63008    481.10
 63009    249.64
 63010    232.30
 63011    275.43
 63012    220.05
 63013    238.00
 63251   1592.63
 49000    452.58
 49001    244.75
 49002    211.58
 49003    237.80
 49004    294.53
 49005    270.03
 49006    200.06
 49007    230.04
 49008    188.65
 49009    267.07
 49010    193.10
 49011    292.57
 49012    214.26
 49013    240.12
 49014    318.10
 49251   1230.27
 25000    366.51
 25001    206.58
 25002    300.49
 25003    224.06
 25004    210.86
 25005    206.73
 25006    228.14
 25007    238.00
 25008    151.05
 25009    156.93
 25010    481.08
 25011    388.79
