
Subjects incorporated to date: 019
Data file started on machine PL_LABXP1

**********************************************************************
Subject 1, 05/04/2009 15:34:38 on PL_LABXP1, refresh 9.99ms, ID EP
  Item       RT
101006   1518.09
101007    732.20
101008   1460.81
101009    709.12
101010   1489.71
101011    738.63
101012    819.89
101013    928.68
102000    918.33
102001   1165.09
102002    732.93
102003    819.00
102004    980.50
102005    789.02
102006    877.60
102007   1138.34
102008    928.83
102009   1637.33
102010    777.84
102011    962.61
102012    936.22
103000    658.16
103001    701.61
103002    731.79
103003    673.42
103004    753.17
103005    726.51
103006   1934.85
103007   1050.04
103008   1128.58
103009    894.07
103010    791.13
103011   1290.94
103012    762.23
103013    739.08
103014    624.31
104000    619.25
104001    751.86
104002   1148.56
104003    699.13
104004    739.06
104005    771.49
104006    577.39
104007    638.79
104008   1697.87
104009    540.99
104010    767.10
104011    704.16
104012   1236.25
104013    809.37
105000    549.32
105001    895.79
105002   -978.30
106000    552.59
106001    905.86
106002    976.60
106003    703.02
106004    511.44
106005    904.25
106006    925.10
106007   1065.34
106008    659.18
106009    858.67
106010    599.25
106011   1042.05
106012    621.35
106013   1128.12
107000    541.14
107001    565.86
107002    629.35
107003    550.09
107004    992.65
107005    793.75
107006    487.98
107007   1000.57
107008    737.02
107009    730.35
107010    609.25
107011    571.67
107012   1304.81
108000    470.69
108001    860.13
108002   1298.37
108003    856.94
108004    679.79
108005    594.12
108006    887.55
108007    820.00
108008    813.62
108009    808.99
108010    796.90
108011    821.26
108012    686.58
108013    711.44
 67000    649.98
 67001    560.18
 67002    545.77
 67003    475.02
 67004   1078.73
 67005    540.18
 67006    831.84
 67007    671.65
 67008    631.21
 67009    546.00
 67010    771.10
 67011    739.08
 67012    449.45
 67013    631.18
 67014    902.07
 67015    572.37
125000    564.00
125001    633.87
125002   1210.48
125003    642.67
125004    759.06
125005    610.50
125006    649.75
125007    699.13
125008    580.81
125009    868.91
125010    751.66
125011    649.19
125012    556.66
125013    619.23
125014    610.65
121000    484.03
121001    523.77
121002    628.27
121003    689.53
121004    679.24
121005    566.53
121006    808.99
121007    483.17
121008    648.13
121009    758.75
121010    965.49
121011   1278.32
121012    731.15
121013    706.89
121014    942.12
 66000    563.12
 66001   1216.08
 66002    500.59
 66003    569.63
